43,121
38,146
13,114
27,200
3,185
21,111
20,193
41,152
38,140
20,152
5,139
46,109
18,176
46,144
10,172
8,180
34,172
40,115
49,171
22,147
4,107
25,110
18,126
13,105
35,101
35,147
15,163
9,158
10,171
42,163
13,119
8,147
34,101
6,197
18,147
6,145
29,164
41,110
25,194
43,133
8,113
19,121
3,151
19,154
49,189
49,181
8,167
7,198
44,118
41,128
5,146
28,181
35,199
19,199
24,148
45,101
37,143
49,161
33,121
31,109
38,188
15,174
50,102
31,134
24,169
20,198
17,192
33,166
46,135
4,197
48,185
48,113
18,153
17,151
22,116
10,128
6,168
20,159
5,137
22,120
31,151
34,163
39,145
47,125
17,175
15,176
30,110
44,106
34,146
32,174
39,181
34,150
40,189
28,160
18,137
13,193
31,161
19,123
25,111
18,167
13,158
40,125
19,161
18,135
2,193
23,199
42,191
21,111
17,163
49,162
41,148
5,165
49,152
34,179
39,129
47,104
22,120
7,139
7,148
30,183
36,104
48,112
27,104
18,196
40,107
30,109
40,117
24,135
29,139
45,109
45,174
45,173
44,129
27,189
10,143
29,116
44,129
5,199
30,154
23,125
4,188
25,101
5,165
49,137
24,147
40,146
43,198
9,178
43,157
48,164
22,160
8,157
31,153
20,187
24,184
45,162
44,147
25,185
48,171
41,152
6,121
38,112
46,193
34,187
47,155
5,131
33,153
39,198
1,165
23,129
3,175
41,171
2,143
41,168
49,104
33,120
10,170
12,101
25,125
20,177
38,111
49,107
49,153
28,178
28,200
41,143
12,122
22,191
20,133
23,149
4,172
44,148
39,171
18,154
5,102
7,175
29,101
46,169
32,158
45,192
37,114
32,120
20,178
44,104
16,165
5,192
38,102
3,121
3,196
32,153
50,163
21,190
50,157
35,122
49,116
15,177
33,111
46,138
16,165
13,186
12,147
19,174
40,193
17,176
50,189
21,117
22,131
32,163
4,128
35,127
